"Name";"ipv4address";"Domain";"location";"canonicalname";"description";"operatingsystem"
"PL-V1304";"10.10.21.71";"Error";"";"";"";""
"PL-V1305";"10.10.21.72";"Error";"";"";"";""
"PL-V1409";"10.10.7.2";"trinitycs.com";;"trinitycs.com/TRINITY/WORKSTATIONS/PL/WA/SPECIAL/PL-V1409";"VIRTUAL SQL2008x32 Płatnik SQL<=>Access converter";"Windows 7 Professional"
"PL-V1501";"10.10.7.255";"trinitycs.com";;"trinitycs.com/TRINITY/WORKSTATIONS/PL/WA/IT/PL-V1501";"IT - Pawel Bednarski";"Windows 7 Professional"
"PL-V1801";"10.10.24.154";"trinitycs.com";;"trinitycs.com/Computers/PL-V1801";"Atrium - Enova acccess";"Windows 7 Professional"
"PLWAAP01";"10.10.1.5";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAAP01";"SERVER (on PLWAHV01) - Application Server";"Windows Server 2012 R2 Datacenter"
"PLWAAT01";;"Error";"";"";"";""
"PLWAAV01";"10.10.1.7";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAAV01";"SERVER (on PLWAHV01) - McAfee AntyVirus Server";"Windows Server 2012 R2 Standard"
"PLWACL01";"10.10.1.21";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWACL01";"SERVER (on PLWAHV01) - Exact Clients PL";"Windows Server 2012 R2 Datacenter"
"PLWACL02";"10.10.1.22";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWACL02";"SERVER (on PLWAHV01) - Symfonia KDF CADENCE Remote Access (Win7)";"Windows 7 Professional"
"PLWACL03";"10.10.1.23";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWACL03";"TS for CLIENTS (Enova365 Application)";"Windows Server 2012 R2 Datacenter"
"PLWACL06";"10.10.1.26";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWACL06";"SERVER (on PLWAHV01) - Symfonia KDF PCG Remote Access (Win7)";"Windows 7 Professional"
"PLWADB10";"10.10.1.60";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADB10";"Archiwalny. FKF2011c";"Windows Server 2008 R2 Datacenter"
"PLWADC02";"10.10.1.2";"trinitycs.com";;"trinitycs.com/Domain Controllers/PLWADC02";"2012 Primary Domain Controller - virtual - DataCenter (PL)";"Windows Server 2012 R2 Datacenter"
"PLWADC14";"10.10.1.4";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADC14";"do usuniecia....";"Windows Server® 2008 Standard"
"PLWADE01";"10.255.1.20";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADE01";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter"
"PLWADE02";"10.10.1.61";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWADE02";"SERVER (on PLWAHV01) - Development";"Windows Server 2012 R2 Datacenter"
"PLWAES01";"10.10.1.10";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAES01";"SERVER (on PLWAHV01) - Exact Server";"Windows Server 2012 R2 Datacenter"
"PLWAES04";"10.10.1.14";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAES04";"SERVER (on PLWAHV01) - SQL2012 Server";"Windows Server 2012 R2 Datacenter"
"PLWAFB01";"10.10.1.72";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWAFB01";"RAKS SQL Server (VCS + VFS)";"Windows Server 2012 R2 Standard"
"PLWAFS01";"10.10.1.3";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWAFS01";"SERVER (on PLWAHV01) - File Server";"Windows Server 2012 R2 Datacenter"
"PLWAHR01";"10.14.1.21";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWAHR01";"ENOVA365 Server #1 (IIS Server)";"Windows Server 2012 R2 Datacenter"
"PLWAHR02";"10.14.1.22";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWAHR02";"ENOVA365 Server #2 (Business Server)";"Windows Server 2012 R2 Datacenter"
"PLWAHV01";"10.10.1.111";"trinitycs.com";;"trinitycs.com/CEE_DATA_CENTER/PLWAHV01";"Cluster Node #1";"Windows Server 2012 R2 Datacenter"
"PLWAHV02";"10.10.1.121";"trinitycs.com";;"trinitycs.com/CEE_DATA_CENTER/PLWAHV02";"Cluster Node #2";"Windows Server 2012 R2 Datacenter"
"PLWAHV03";"10.10.1.131";"trinitycs.com";;"trinitycs.com/CEE_DATA_CENTER/PLWAHV03";"Cluster Node #3";"Windows Server 2012 R2 Datacenter"
"PLWALG01";"10.10.1.69";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/_old_to_audit/PLWALG01";"SERVER - LanGuard Main Server";"Windows Server 2012 R2 Datacenter"
"PLWAMO02";"10.10.6.2";"Error";"";"";"";""
