"Server";"group";"member"
"WAWSRVSQL001";"WAWSRVSQL001\Administrators";"WAWSRVSQL001\Administrator"
"WAWSRVSQL001";"WAWSRVSQL001\Administrators";"WORK\Domain Admins"
"WAWSRVSQL001";"WAWSRVSQL001\Administrators";"WORK\Security - IT - Poland SQL Server Administrators"
"WAWSRVSQL001";"WAWSRVSQL001\Administrators";"WORK\howardm!"
"WAWSRVSQL001";"WAWSRVSQL001\Administrators";"WORK\ceesrvsql"
"WAWSRVSQL001";"WAWSRVSQL001\Guests";"WAWSRVSQL001\Guest"
"WAWSRVSQL001";"WAWSRVSQL001\IIS_IUSRS";"WAWSRVSQL001\IUSR"
"WAWSRVSQL001";"WAWSRVSQL001\Performance Log Users";"WORK\petruczynikr!"
"WAWSRVSQL001";"WAWSRVSQL001\Performance Monitor Users";"NT SERVICE\MSSQLSERVER"
"WAWSRVSQL001";"WAWSRVSQL001\Performance Monitor Users";"NT SERVICE\SQLSERVERAGENT"
"WAWSRVSQL001";"WAWSRVSQL001\Remote Desktop Users";"WORK\petruczynikr!"
"WAWSRVSQL001";"WAWSRVSQL001\Remote Desktop Users";"WORK\howardm!"
"WAWSRVSQL001";"WAWSRVSQL001\Users";"WAWSRVSQL001\INTERACTIVE"
"WAWSRVSQL001";"WAWSRVSQL001\Users";"WAWSRVSQL001\Authenticated Users"
"WAWSRVSQL001";"WAWSRVSQL001\Users";"WORK\Domain Users"
"WAWSRVSQL001";"WAWSRVSQL001\HelpLibraryUpdaters";"WORK\petruczynikr!"
"WAWSRVSQL001";"WAWSRVSQL001\SQLServer2005SQLBrowserUser$WAWSRVSQL001";"NT SERVICE\SQLBrowser"
"WAWSRVSQL002";"WAWSRVSQL002\Administrators";"WAWSRVSQL002\Administrator"
"WAWSRVSQL002";"WAWSRVSQL002\Administrators";"WORK\Domain Admins"
"WAWSRVSQL002";"WAWSRVSQL002\Administrators";"WORK\Security - IT - Poland SQL Server Administrators"
"WAWSRVSQL002";"WAWSRVSQL002\Administrators";"WORK\howardm!"
"WAWSRVSQL002";"WAWSRVSQL002\Administrators";"WORK\szymanskim!"
"WAWSRVSQL002";"WAWSRVSQL002\Guests";"WAWSRVSQL002\Guest"
"WAWSRVSQL002";"WAWSRVSQL002\IIS_IUSRS";"WAWSRVSQL002\IUSR"
"WAWSRVSQL002";"WAWSRVSQL002\Performance Log Users";"WORK\petruczynikr!"
"WAWSRVSQL002";"WAWSRVSQL002\Performance Monitor Users";"NT SERVICE\MSSQLSERVER"
"WAWSRVSQL002";"WAWSRVSQL002\Performance Monitor Users";"NT SERVICE\SQLSERVERAGENT"
"WAWSRVSQL002";"WAWSRVSQL002\Remote Desktop Users";"WORK\Security - IT - Poland SQL Server Administrators"
"WAWSRVSQL002";"WAWSRVSQL002\Remote Desktop Users";"WORK\muchak"
"WAWSRVSQL002";"WAWSRVSQL002\Remote Desktop Users";"WORK\glowackik!"
"WAWSRVSQL002";"WAWSRVSQL002\Users";"WAWSRVSQL002\INTERACTIVE"
"WAWSRVSQL002";"WAWSRVSQL002\Users";"WAWSRVSQL002\Authenticated Users"
"WAWSRVSQL002";"WAWSRVSQL002\Users";"WORK\Domain Users"
"WAWSRVSQL002";"WAWSRVSQL002\HelpLibraryUpdaters";"WORK\petruczynikr!"
"WAWSRVSQL002";"WAWSRVSQL002\SQLServer2005SQLBrowserUser$WAWSRVSQL002";"NT SERVICE\SQLBrowser"
"WAWSRVSQL006";"WAWSRVSQL006\Administrators";"WAWSRVSQL006\Administrator"
"WAWSRVSQL006";"WAWSRVSQL006\Administrators";"WORK\Domain Admins"
"WAWSRVSQL006";"WAWSRVSQL006\Administrators";"WORK\Security - IT - Poland SQL Server Administrators"
"WAWSRVSQL006";"WAWSRVSQL006\Administrators";"WORK\ceesrvsql"
"WAWSRVSQL006";"WAWSRVSQL006\Guests";"WAWSRVSQL006\Guest"
"WAWSRVSQL006";"WAWSRVSQL006\IIS_IUSRS";"WAWSRVSQL006\IUSR"
"WAWSRVSQL006";"WAWSRVSQL006\Performance Log Users";"WORK\petruczynikr!"
"WAWSRVSQL006";"WAWSRVSQL006\Performance Monitor Users";"NT SERVICE\MSSQLSERVER"
"WAWSRVSQL006";"WAWSRVSQL006\Performance Monitor Users";"NT SERVICE\SQLSERVERAGENT"
"WAWSRVSQL006";"WAWSRVSQL006\Remote Desktop Users";"WORK\petruczynikr!"
"WAWSRVSQL006";"WAWSRVSQL006\Remote Desktop Users";"WORK\grochockaa"
"WAWSRVSQL006";"WAWSRVSQL006\Remote Desktop Users";"WORK\lewczukm"
"WAWSRVSQL006";"WAWSRVSQL006\Remote Desktop Users";"WORK\talasmi"
"WAWSRVSQL006";"WAWSRVSQL006\Users";"WAWSRVSQL006\INTERACTIVE"
"WAWSRVSQL006";"WAWSRVSQL006\Users";"WAWSRVSQL006\Authenticated Users"
"WAWSRVSQL006";"WAWSRVSQL006\Users";"WORK\Domain Users"
"WAWSRVSQL006";"WAWSRVSQL006\HelpLibraryUpdaters";"WORK\petruczynikr!"
"WAWSRVSQL006";"WAWSRVSQL006\SQLServer2005SQLBrowserUser$WAWSRVSQL006";"NT SERVICE\SQLBrowser"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WAWSRVSQL007\Administrator"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WORK\Domain Admins"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WORK\Security - IT - Poland SQL Server Administrators"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WORK\ceesrvnav"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WORK\ceeadmudp"
"WAWSRVSQL007";"WAWSRVSQL007\Administrators";"WORK\howardm!"
