"Server Name";"IP Address"
"PL-V1304";"10.10.21.71"
"PL-V1305";"10.10.21.72"
"PL-V1409";"10.10.7.2"
"PL-V1501";"10.10.7.255"
"PL-V1801";"10.10.24.154"
"PLWAAP01";"10.10.1.5"
"PLWAAV01";"10.10.1.7"
"PLWACL01";"10.10.1.21"
"PLWACL02";"10.10.1.22"
"PLWACL03";"10.10.1.23"
"PLWACL06";"10.10.1.26"
"PLWADB10";"10.10.1.60"
"PLWADC02";"10.10.1.2"
"PLWADC14";"10.10.1.4"
"PLWADE02";"10.10.1.61"
"PLWAES01";"10.10.1.10"
"PLWAES04";"10.10.1.14"
"PLWAFB01";"10.10.1.72"
"PLWAFS01";"10.10.1.3"
"PLWAHV01";"10.10.1.111"
"PLWAHV02";"10.10.1.121"
"PLWAHV03";"10.10.1.131"
"PLWALG01";"10.10.1.69"
"PLWAMO02";"10.10.6.2"
"PLWATM01";"10.10.1.41"
"PLWATM08";"10.10.1.48"
"PLWATM10";"10.10.1.50"
"PLWATM21";"10.10.1.81"
"WAWSRVARC001";"10.10.10.191"
"WAWSRVCLN002";"10.14.1.42"
"WAWSRVCLN002";"10.14.1.42"
"WAWSRVCLN003";"10.14.1.43"
"WAWSRVCLN003";"10.14.1.43"
"WAWSRVDC001";"10.10.10.110"
"WAWSRVDMS001";"10.14.1.51"
"WAWSRVDMS001";"10.14.1.51"
"WAWSRVDMS003";"10.14.1.53"
"WAWSRVDMS003";"10.14.1.53"
"WAWSRVDMS004";"10.14.1.54"
"WAWSRVDMS004";"10.14.1.54"
"WAWSRVFS001";"10.10.10.31"
"WAWSRVFS002";"10.10.10.32"
"WAWSRVFTP001";"10.10.1.30"
"WAWSRVLG001";"10.10.10.71"
"WAWSRVSQL001";"10.10.10.21"
"WAWSRVSQL002";"10.10.10.22"
"WAWSRVSQL006";"10.10.10.26"
"WAWSRVSQL007";"10.10.10.27"
"WAWSRVSQL008";"10.10.10.28"
"WAWSRVSQL009";"10.10.10.29"
"WAWSRVTM001";"10.10.10.41"
"WAWSRVTM002";"10.10.10.42"
"WAWSRVTM003";"10.10.10.43"
"WAWSRVTM004";"10.10.10.44"
"WAWSRVTM005";"10.10.10.45"
"WAWSRVTM006";"10.10.10.46"
"WAWSRVTM007";"10.10.10.47"
"WAWSRVTM008";"10.10.10.48"
"WAWSRVTM009";"10.10.10.49"
