#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights";"IsInherited"
"D:\FS\PL\acc\MLE_BSS";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\MLE_BSS";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\MLE_BSS";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\MLE_BSS";"WORK\Security - Warsaw - BSS Team";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_ANC";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_ANC";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_ANC";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_ANC";"WORK\Security - Warsaw - Folder - Group ANC - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JBZ";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JBZ";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JBZ";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JBZ";"WORK\Security - Warsaw - Folder - Group JBZ - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JKW";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JKW";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JKW";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JKW";"WORK\Security - Warsaw - Folder - Group JKW - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_ANC\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group ANC - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JBZ\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group JBZ - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AKB\GROUP_JKW\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group JKW - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ALI";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ALI";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ALI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ALI";"WORK\Security - Warsaw - Folder - Group ALI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ARU";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ARU";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ARU";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ARU";"WORK\Security - Warsaw - Folder - Group ARU - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_KRB";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_KRB";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_KRB";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_KRB";"WORK\Security - Warsaw - Folder - Group KRB - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_RBD";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_RBD";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_RBD";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_RBD";"WORK\Security - Warsaw - Folder - Group RBD - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ALI\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group ALI - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_ARU\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group ARU - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_KRB\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group KRB - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_ALO\GROUP_RBD\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group RBD - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_ECI";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_ECI";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_ECI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_ECI";"WORK\Security - Warsaw - Folder - Group ECI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_KCI";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_KCI";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_KCI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_KCI";"WORK\Security - Warsaw - Folder - Group KCI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK";"WORK\Security - Warsaw - Folder - Group MLK - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP";"WORK\Security - Warsaw - Folder - Group ECI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP";"WORK\Security - Warsaw - Folder - Group MWP - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_ECI\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group ECI - RW";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_KCI\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group KCI - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK\DOCUMENTS";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK\DOCUMENTS";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK\DOCUMENTS";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MLK\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MLK - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_AWA\GROUP_MWP\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MWP - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\COMMON_BND";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ";"BUILTIN\Administrators";"FullControl";"False"
