Physical/Virtual;City_short;Start;Mid;End;Server Type;Nazwa;IP 2nd OCT;IP Base;IP End;IP;City;Country Code;Comment
p;LUB;SRV;H;1;Hyper-V;LUBSRVH001;35;10.35.10.;230;10.35.10.230;Lublin;PL;
v;LUB;SRV;DC;1;Domain Controller;LUBSRVDC001;35;10.35.10.;110;10.35.10.110;Lublin;PL;
v;LUB;SRV;AP;1;Application;LUBSRVAP001;35;10.35.10.;100;10.35.10.100;Lublin;PL;
v;LUB;SRV;FOG;1;FOG;LUBSRVFOG001;35;10.35.10.;101;10.35.10.101;Lublin;PL;
p;POZ;SRV;H;1;Hyper-V;POZSRVH001;12;10.12.10.;232;10.12.10.232;Poznan;PL;
v;POZ;SRV;DC;1;Domain Controller;POZSRVDC001;12;10.12.10.;110;10.12.10.110;Poznan;PL;
v;POZ;SRV;AP;1;Application;POZSRVAP001;12;10.12.10.;100;10.12.10.100;Poznan;PL;
v;POZ;SRV;FOG;1;FOG;POZSRVFOG001;12;10.12.10.;101;10.12.10.101;Poznan;PL;
p;BUD;SRV;H;1;Hyper-V;BUDSRVH001;32;10.32.10.;230;10.32.10.230;Budapest;HU;
v;BUD;SRV;DC;1;Domain Controller;BUDSRVDC001;32;10.32.10.;110;10.32.10.110;Budapest;HU;
v;BUD;SRV;AP;1;Application;BUDSRVAP001;32;10.32.10.;100;10.32.10.100;Budapest;HU;
v;BUD;SRV;FOG;1;FOG;BUDSRVFOG001;32;10.32.10.;101;10.32.10.101;Budapest;HU;
p;WRO;SRV;H;1;Hyper-V;WROSRVH001;13;10.13.10.;230;10.13.10.230;Wroclaw;PL;
v;WRO;SRV;DC;1;Domain Controller;WROSRVDC001;13;10.13.10.;110;10.13.10.110;Wroclaw;PL;
v;WRO;SRV;AP;1;Application;WROSRVAP001;13;10.13.10.;100;10.13.10.100;Wroclaw;PL;
v;WRO;SRV;FOG;1;FOG;WROSRVFOG001;13;10.13.10.;101;10.13.10.101;Wroclaw;PL;
p;BUC;SRV;H;1;Hyper-V;BUCSRVH001;20;10.20.10.;232;10.20.10.232;Bucharest;RO;
v;BUC;SRV;DC;1;Domain Controller;BUCSRVDC001;20;10.20.10.;110;10.20.10.110;Bucharest;RO;
v;BUC;SRV;AP;1;Application;BUCSRVAP001;20;10.20.10.;100;10.20.10.100;Bucharest;RO;
v;BUC;SRV;FOG;1;FOG;BUCSRVFOG001;20;10.20.10.;101;10.20.10.101;Bucharest;RO;
p;SOF;SRV;H;1;Hyper-V;SOFSRVH001;31;10.31.10.;230;10.31.10.230;Sofia;BG;
v;SOF;SRV;DC;1;Domain Controller;SOFSRVDC001;31;10.31.10.;110;10.31.10.110;Sofia;BG;
v;SOF;SRV;AP;1;Application;SOFSRVAP001;31;10.31.10.;100;10.31.10.100;Sofia;BG;
v;SOF;SRV;FOG;1;FOG;SOFSRVFOG001;31;10.31.10.;101;10.31.10.101;Sofia;BG;
p;KRA;SRV;H;1;Hyper-V;KRASRVH001;34;10.34.10.;230;10.34.10.230;Krakow;PL;
v;KRA;SRV;DC;1;Domain Controller;KRASRVDC001;34;10.34.10.;110;10.34.10.110;Krakow;PL;
v;KRA;SRV;AP;1;Application;KRASRVAP001;34;10.34.10.;100;10.34.10.100;Krakow;PL;
v;KRA;SRV;FOG;1;FOG;KRASRVFOG001;34;10.34.10.;101;10.34.10.101;Krakow;PL;
p;PRG;SRV;H;1;Hyper-V;PRGSRVH001;36;10.36.10.;232;10.36.10.232;Prague;CZ;and Slovakia (Bratislava)
v;PRG;SRV;DC;1;Domain Controller;PRGSRVDC001;36;10.36.10.;110;10.36.10.110;Prague;CZ;and Slovakia (Bratislava)
v;PRG;SRV;AP;1;Application;PRGSRVAP001;36;10.36.10.;100;10.36.10.100;Prague;CZ;and Slovakia (Bratislava)
v;PRG;SRV;FOG;1;FOG;PRGSRVFOG001;36;10.36.10.;101;10.36.10.101;Prague;CZ;and Slovakia (Bratislava)
v;WAW;SRV;TM;1;Terminal;WAWSRVTM001;41;10.10.10.;41;10.10.10.41;Warsaw;PL;
v;WAW;SRV;TM;2;Terminal;WAWSRVTM002;42;10.10.10.;42;10.10.10.42;Krakow;PL;
v;WAW;SRV;TM;3;Terminal;WAWSRVTM003;43;10.10.10.;43;10.10.10.43;Wroclaw;PL;
v;WAW;SRV;TM;4;Terminal;WAWSRVTM004;44;10.10.10.;44;10.10.10.44;Poznan;PL;
v;WAW;SRV;TM;5;Terminal;WAWSRVTM005;45;10.10.10.;45;10.10.10.45;Lublin;PL;
v;WAW;SRV;TM;6;Terminal;WAWSRVTM006;46;10.10.10.;46;10.10.10.46;Bucharest;RO;
v;WAW;SRV;TM;7;Terminal;WAWSRVTM007;47;10.10.10.;47;10.10.10.47;Sofia;BG;
v;WAW;SRV;TM;8;Terminal;WAWSRVTM008;48;10.10.10.;48;10.10.10.48;Budapest;HU;
v;WAW;SRV;TM;9;Terminal;WAWSRVTM009;49;10.10.10.;49;10.10.10.49;Prague;CZ;and Slovakia (Bratislava)
prn;LUB;;;;PRINTERS;;;;;10.35.30.##;Lublin;PL;
prn;POZ;;;;PRINTERS;;;;;10.12.30.##;Poznan;PL;
prn;BUD;;;;PRINTERS;;;;;10.32.30.##;Budapest;HU;
prn;WRO;;;;PRINTERS;;;;;10.13.30.##;Wroclaw;PL;
prn;BUC;;;;PRINTERS;;;;;10.20.30.##;Bucharest;RO;
prn;SOF;;;;PRINTERS;;;;;10.31.30.##;Sofia;BG;
prn;KRA;;;;PRINTERS;;;;;10.34.30.##;Krakow;PL;
prn;PRG;;;;PRINTERS;;;;;10.36.30.##;Prague;CZ;
prn;WAW;;;;PRINTERS;;;;;10.41.30.##;Warsaw;PL;
p;WAW;SRV;PRN;1;print;WAWSRVPRN001;;;;10.10.10.120;;;
