"name";"location";"ipv4address";"canonicalname";"description";"operatingsystem";"Domain"
"BUCSRVAP001";;"10.20.10.100";"work.local/Vistra/CEE/Servers/VCS/BUCSRVAP001";"VCS - Bucharest Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"BUCSRVDC001";;"10.20.10.110";"work.local/Domain Controllers/BUCSRVDC001";"Bucharest Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"BUCSRVVH001";;"10.20.10.230";"work.local/Vistra/CEE/Servers/VCS/BUCSRVVH001";"VCS - Bucharest VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"BUDSRVAP001";;"10.32.10.100";"work.local/Vistra/CEE/Servers/VCS/BUDSRVAP001";"VCS - Budapest Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"BUDSRVDC001";;"10.32.10.110";"work.local/Domain Controllers/BUDSRVDC001";"Budapest Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"BUDSRVVH001";;"10.32.10.230";"work.local/Vistra/CEE/Servers/VCS/BUDSRVVH001";"VCS - Budapest VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"SOFSRVAP001";;"10.31.10.100";"work.local/Vistra/CEE/Servers/VCS/SOFSRVAP001";"VCS - Sofia Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"SOFSRVDC001";;"10.31.10.110";"work.local/Domain Controllers/SOFSRVDC001";"Sofia Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"SOFSRVVH001";;"10.31.10.230";"work.local/Vistra/CEE/Servers/VCS/SOFSRVVH001";"VCS - Sofia VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"KRASRVAP001";;"10.34.10.100";"work.local/Vistra/CEE/Servers/VCS/KRASRVAP001";"VCS - Krakow Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"KRASRVDC001";;"10.34.10.110";"work.local/Domain Controllers/KRASRVDC001";"Krakow Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"KRASRVVH001";;"10.34.10.230";"work.local/Vistra/CEE/Servers/VCS/KRASRVVH001";"VCS - Krakow VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"LUBSRVAP001";;"10.35.10.100";"work.local/Vistra/CEE/Servers/VCS/LUBSRVAP001";"VCS - Lublin Application Server";"Windows Server 2012 R2 Standard";"work.local"
"LUBSRVDC001";;"10.35.10.110";"work.local/Domain Controllers/LUBSRVDC001";"Lublin Domain Controller (2012 R2)";"Windows Server 2012 R2 Standard";"work.local"
"LUBSRVVH001";;"10.35.10.230";"work.local/Vistra/CEE/Servers/VCS/LUBSRVVH001";"VCS - Lublin VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"POZSRVAP001";;"10.12.10.100";"work.local/Vistra/CEE/Servers/VCS/POZSRVAP001";"VCS - Poznan Application Server";"Windows Server 2012 R2 Standard";"work.local"
"POZSRVDC001";;"10.12.10.110";"work.local/Domain Controllers/POZSRVDC001";"Poznan Domain Controller (2012 R2)";"Windows Server 2012 R2 Standard";"work.local"
"POZSRVVH001";;"10.12.10.230";"work.local/Vistra/CEE/Servers/VCS/POZSRVVH001";"VCS - Poznan VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"POZSRVVH002";;"10.12.10.232";"work.local/Vistra/CEE/Servers/VCS/POZSRVVH002";"VCS - Poznan VH Server (temp) (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"WROSRVAP001";;"10.13.10.100";"work.local/Vistra/CEE/Servers/VCS/WROSRVAP001";"VCS - Wroclaw Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"WROSRVDC001";;"10.13.10.110";"work.local/Domain Controllers/WROSRVDC001";"Wroclaw Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"WROSRVVH001";;"10.13.10.230";"work.local/Vistra/CEE/Servers/VCS/WROSRVVH001";"VCS - Wroclaw VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
"PRGSRVAP001";;"10.36.10.100";"work.local/Vistra/CEE/Servers/VCS/PRGSRVAP001";"VCS - Prague Application Server";"Windows Server 2012 R2 Datacenter";"work.local"
"PRGSRVDC001";;"10.36.10.110";"work.local/Domain Controllers/PRGSRVDC001";"Prague Domain Controller (2012 R2)";"Windows Server 2012 R2 Datacenter";"work.local"
"PRGSRVVH001";;"10.36.10.230";"work.local/Vistra/CEE/Servers/VCS/PRGSRVVH001";"VCS - Prague VH Server (hardware)";"Windows Server 2012 R2 Standard";"work.local"
