"Server";"group";"member"
"WAWSRVSQL001";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL001";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL001";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL001";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL001";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL001";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL001";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL001";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL001";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL001";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL001";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL001";"RDPUsers";"WORK\kuzmickip"
"WAWSRVSQL002";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL002";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL002";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL002";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL002";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL002";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL002";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL002";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL002";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL002";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL002";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL002";"RDPUsers";"WORK\kuzmickip"
"WAWSRVSQL006";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL006";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL006";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL006";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL006";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL006";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL006";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL006";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL006";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL006";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL006";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL006";"RDPUsers";"WORK\kuzmickip"
"WAWSRVSQL007";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL007";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL007";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL007";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL007";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL007";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL007";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL007";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL007";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL007";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL007";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL007";"RDPUsers";"WORK\kuzmickip"
"WAWSRVSQL008";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL008";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL008";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL008";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL008";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL008";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL008";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL008";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL008";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL008";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL008";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL008";"RDPUsers";"WORK\kuzmickip"
"WAWSRVSQL009";"LocalAdmins";"WAWSRVTM004\Administrator"
"WAWSRVSQL009";"LocalAdmins";"WORK\Domain Admins"
"WAWSRVSQL009";"LocalAdmins";"WORK\Security - IT - Poland Terminal Server Administrators"
"WAWSRVSQL009";"LocalAdmins";"WORK\Security - VCS Exact & HR Support"
"WAWSRVSQL009";"LocalUsers";"WAWSRVTM004\INTERACTIVE"
"WAWSRVSQL009";"LocalUsers";"WAWSRVTM004\Authenticated Users"
"WAWSRVSQL009";"LocalUsers";"WORK\Domain Users"
"WAWSRVSQL009";"RDPUsers";"WORK\Security - Poznan - Terminal Server users"
"WAWSRVSQL009";"RDPUsers";"WORK\walaszczyks"
"WAWSRVSQL009";"RDPUsers";"WORK\lewczukm"
"WAWSRVSQL009";"RDPUsers";"WORK\grochockaa"
"WAWSRVSQL009";"RDPUsers";"WORK\kuzmickip"
