"name";"location";"ipv4address";"canonicalname";"description";"operatingsystem";"Domain"
"PLWAHV01";;"10.10.1.111";"trinitycs.com/CEE_DATA_CENTER/PLWAHV01";"Cluster Node #1";"Windows Server 2012 R2 Datacenter";"trinitycs.com"
"PLWAHV02";;"10.10.1.121";"trinitycs.com/CEE_DATA_CENTER/PLWAHV02";"Cluster Node #2";"Windows Server 2012 R2 Datacenter";"trinitycs.com"
"PLWAHV03";;"10.10.1.131";"trinitycs.com/CEE_DATA_CENTER/PLWAHV03";"Cluster Node #3";"Windows Server 2012 R2 Datacenter";"trinitycs.com"
"WAWSRVFS001";;"10.10.10.31";"work.local/Vistra/CEE/Servers/VCS/WAWSRVFS001";"VCS - File Server";"Windows Server 2012 R2 Datacenter";"work.local"
"WAWSRVFS002";"WarsawDC";"10.10.10.32";"work.local/Vistra/CEE/Servers/VFS/WAWSRVFS002";"VFS - File Server";"Windows Server 2012 R2 Datacenter";"work.local"
"WAWSRVFTP001";"";"10.10.1.30";"";"";"";"Error"
"WAWSRVGIT001";"";;"";"";"";"Error"
"WAWSRVGIT002";"";;"";"";"";"Error"
"WAWSRVHR001";"";;"";"";"";"Error"
"WAWSRVHR012";;"10.14.1.29";"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/WAWSRVHR012";"ENOVA365 Server #2 (Business Server) - TEST";"Windows Server 2012 R2 Datacenter";"trinitycs.com"
"WAWSRVLG001";;"10.10.10.71";"work.local/Vistra/CEE/Servers/VCS/WAWSRVLG001";"VCS - GFI LanGuard node 1/2";"Windows Server 2012 R2 Datacenter";"work.local"
"WASRVLG002";"";;"";"";"";"Error"
"WASRVOVS001";"";;"";"";"";"Error"
"WAWSRVOVS002";"";;"";"";"";"Error"
"WAWSRVSQL001";;"10.10.10.21";"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL001";"VCS - SQL 2016 Standard Server for Warsaw (PL)";"Windows Server 2012 R2 Datacenter";"work.local"
"WAWSRVSQL002";;"10.10.10.22";"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL002";"VCS - SQL 2016 Standard Server for Warsaw (PL)";"Windows Server 2012 R2 Datacenter";"work.local"
