#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights"
"GROUP_ANC";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_ANC";"BUILTIN\Administrators";"FullControl"
"GROUP_ANC";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_ANC";"WORK\Security - Warsaw - Folder - Group ANC - RW";"ReadAndExecute, Synchronize"
"GROUP_JBZ";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_JBZ";"BUILTIN\Administrators";"FullControl"
"GROUP_JBZ";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_JBZ";"WORK\Security - Warsaw - Folder - Group JBZ - RW";"ReadAndExecute, Synchronize"
"GROUP_JKW";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_JKW";"BUILTIN\Administrators";"FullControl"
"GROUP_JKW";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_JKW";"WORK\Security - Warsaw - Folder - Group JKW - RW";"ReadAndExecute, Synchronize"
"GROUP_ALI";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_ALI";"BUILTIN\Administrators";"FullControl"
"GROUP_ALI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_ALI";"WORK\Security - Warsaw - Folder - Group ALI - RW";"ReadAndExecute, Synchronize"
"GROUP_ARU";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_ARU";"BUILTIN\Administrators";"FullControl"
"GROUP_ARU";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_ARU";"WORK\Security - Warsaw - Folder - Group ARU - RW";"ReadAndExecute, Synchronize"
"GROUP_KRB";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_KRB";"BUILTIN\Administrators";"FullControl"
"GROUP_KRB";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_KRB";"WORK\Security - Warsaw - Folder - Group KRB - RW";"ReadAndExecute, Synchronize"
"GROUP_RBD";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_RBD";"BUILTIN\Administrators";"FullControl"
"GROUP_RBD";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_RBD";"WORK\Security - Warsaw - Folder - Group RBD - RW";"ReadAndExecute, Synchronize"
"GROUP_ECI";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_ECI";"BUILTIN\Administrators";"FullControl"
"GROUP_ECI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_ECI";"WORK\Security - Warsaw - Folder - Group ECI - RW";"ReadAndExecute, Synchronize"
"GROUP_KCI";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_KCI";"BUILTIN\Administrators";"FullControl"
"GROUP_KCI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_KCI";"WORK\Security - Warsaw - Folder - Group KCI - RW";"ReadAndExecute, Synchronize"
"GROUP_MLK";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_MLK";"BUILTIN\Administrators";"FullControl"
"GROUP_MLK";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize"
"GROUP_MLK";"WORK\Security - Warsaw - Folder - Group MLK - RW";"ReadAndExecute, Synchronize"
"GROUP_MWP";"NT AUTHORITY\SYSTEM";"FullControl"
"GROUP_MWP";"BUILTIN\Administrators";"FullControl"
