User;Group
cyptestsd;Email - All Staff Vistra Zurich                             
cyptestsd;Security - Zurich Users                                     
cyptestsd;Security - Zurich Web Users                                 
cyptestsd;Security - Intranet Zurich Users                            
cyptestsd;Security - Zurich Users with Access to Zug Data             
cyptestsd;Application - CHE Viewpoint SSRS - Compliance Reports Access
cyptestsd;Security - Intranet Vistra Zurich and Zug Publishers        
cyptestsd;Security - Zurich Qubus Users                               
cyptestsd;Application - Zurich Rebuh Email Users                      
cyptestsd;Application - Zurich Rebuh Users                            
cyptestsd;Application - Zurich Honoris Users                          
cyptestsd;Security - Zurich - Qubus - Controlling Data Access         
cyptestsd;Security - Zurich Access to Qubus DatenOffice Drive I:      
cyptestsd;Application - Zurich Screening Deployed Users               
cyptestsd;Security - Geneva - Disable Loop Up                         
cyptestsd;Security - Group Nirvana UAT                                
cyptestsd;Security - Zurich - Inhouse Companies                       
cyptestsd;Security - Zurich - Internal Audit Folder                   
cyptestsd;DM security - ZRH - Inhouse Companies - Emails              
cyptestsd;DM security - ZRH - Inhouse Companies - Correspondence      
cyptestsd;DM security - ZRH All Users                                 
cyptestsd;SkillportUsers                                              
cyptestsd;Email - Zurich - CRS                                        
cyptestsd;Security - Zurich Printers ZRHPRN001                        
cyptestsd;Security - Zurich Printers ZRHPRN003                        
cyptestsd;Security - Zurich Printers ZRHPRN002                        
cyptestsd;Security - Mimecast - Zurich Exchange NAT Routing           
cyptestsd;*Email - Velocity Switzerland 
