"Name";"IpAddress";"PortName";"ShareName";"PrinterState";"PrintProcessor";"DriverName";"ComputerName";"Location";"Comment";"JobCount"
"LUBPRN006";"10.35.30.6";"10.35.30.6";"LUBPRN006";;"XeroxV5Print";"Xerox Global Print Driver PCL6";"10.35.10.100";"";"";"0"
"LUBPRN005";"10.35.30.5";"10.35.30.5";"LUBPRN005";;"winprint";"Canon LBP211/212 UFR II V4";"10.35.10.100";"";"";"0"
"LUBPRN004";"10.35.30.4";"10.35.30.4";"LUBPRN004";;"winprint";"Canon Office XPS Class Driver";"10.35.10.100";"Payroll";"";"0"
"LUBPRN001";"10.35.30.1";"10.35.30.1";"LUBPRN001";;"XeroxV5Print";"Xerox Global Print Driver PCL6";"10.35.10.100";"Lublin office (Main area)";"Vistra CEE";"0"
"POZPRN002";"10.12.30.2";"10.12.30.2";"POZPRN002";;"winprint";"RICOH PCL6 UniversalDriver V4.17";"10.12.10.100";"Poznan office (Marta's room)";"Vistra CEE";"0"
"POZPRN001";"10.12.30.1";"10.12.30.1";"POZPRN001";;"winprint";"RICOH PCL6 V4 UniversalDriver V2.6";"10.12.10.100";"Poznan office (Main area)";"Vistra CEE";"4"
"BUDPRN002";"10.32.30.2";"10.32.30.2";"BUDPRN002";;"winprint";"RICOH PCL6 UniversalDriver V4.18";"10.32.10.100";"Budapest office (Matty's room)";"Vistra CEE";"0"
"BUDPRN001";"10.32.30.1";"10.32.30.1";"BUDPRN001";;"XeroxV5Print";"Xerox Global Print Driver PCL6";"10.32.10.100";"Budapest office (Server room)";"Vistra CEE";"0"
"BUCPRN004";"10.20.30.4";"10.20.30.4";"BUCPRN004";;"winprint";"Canon Office XPS Class Driver";"10.20.10.100";"Vistra Bucharest";"Vistra Bucharest (Canon MF732C/734C/735C)";"0"
"BUCPRN003";"10.20.30.3";"WSD-ebafcefe-e1ac-43d5-8fa5-99d278ce50a4.006d";"BUCPRN003";;"winprint";"Canon Generic PCL6 Driver";"10.20.10.100";"Vistra Bucharest";"Vistra Bucharest (Canon iR-ADV 525)";"0"
